EventLookup,EventName,EventDate,ZoneName,Value,AccountNumber,Order_ID
DYN170705,"Houston Dynamo vs. Montreal Impact - Wed., July 5, 2017",2017-07-05T19:30:00Z,Admissions,19,79883,7175
DYN170705,"Houston Dynamo vs. Montreal Impact - Wed., July 5, 2017",2017-07-05T19:30:00Z,Admissions,19,79883,7175
DYN170705,"Houston Dynamo vs. Montreal Impact - Wed., July 5, 2017",2017-07-05T19:30:00Z,Admissions,21,85731,2092
DYN170705,"Houston Dynamo vs. Montreal Impact - Wed., July 5, 2017",2017-07-05T19:30:00Z,Vouchers,33,29875,5482
DYN170705,"Houston Dynamo vs. Montreal Impact - Wed., July 5, 2017",2017-07-05T19:30:00Z,Vouchers,33,29875,5482
DYN170705,"Houston Dynamo vs. Montreal Impact - Wed., July 5, 2017",2017-07-05T19:30:00Z,Vouchers,33,29875,5482
DYN170705,"Houston Dynamo vs. Montreal Impact - Wed., July 5, 2017",2017-07-05T19:30:00Z,Vouchers,33,29875,5482
DYN170705,"Houston Dynamo vs. Montreal Impact - Wed., July 5, 2017",2017-07-05T19:30:00Z,Vouchers,33,43890,5007
DYN170705,"Houston Dynamo vs. Montreal Impact - Wed., July 5, 2017",2017-07-05T19:30:00Z,Vouchers,33,29875,5482
DYN170705,"Houston Dynamo vs. Montreal Impact - Wed., July 5, 2017",2017-07-05T19:30:00Z,Vouchers,33,29875,5482
DYN170705,"Houston Dynamo vs. Montreal Impact - Wed., July 5, 2017",2017-07-05T19:30:00Z,Vouchers,25,38673,6190
DYN170705,"Houston Dynamo vs. Montreal Impact - Wed., July 5, 2017",2017-07-05T19:30:00Z,Vouchers,25,38673,6190
DYN170705,"Houston Dynamo vs. Montreal Impact - Wed., July 5, 2017",2017-07-05T19:30:00Z,Vouchers,25,38673,6190
DYN170705,"Houston Dynamo vs. Montreal Impact - Wed., July 5, 2017",2017-07-05T19:30:00Z,Vouchers,25,38673,6190
DYN170705,"Houston Dynamo vs. Montreal Impact - Wed., July 5, 2017",2017-07-05T19:30:00Z,Vouchers,25,38673,6190
DYN170705,"Houston Dynamo vs. Montreal Impact - Wed., July 5, 2017",2017-07-05T19:30:00Z,Vouchers,25,38673,6190
DYN170705,"Houston Dynamo vs. Montreal Impact - Wed., July 5, 2017",2017-07-05T19:30:00Z,Vouchers,25,38673,6190
DYN170705,"Houston Dynamo vs. Montreal Impact - Wed., July 5, 2017",2017-07-05T19:30:00Z,Vouchers,25,38673,6190
DYN170705,"Houston Dynamo vs. Montreal Impact - Wed., July 5, 2017",2017-07-05T19:30:00Z,Vouchers,33,43890,5007
DYN170705,"Houston Dynamo vs. Montreal Impact - Wed., July 5, 2017",2017-07-05T19:30:00Z,Vouchers,33,43890,5007
DYN170705,"Houston Dynamo vs. Montreal Impact - Wed., July 5, 2017",2017-07-05T19:30:00Z,Vouchers,33,43890,5007
DYN170705,"Houston Dynamo vs. Montreal Impact - Wed., July 5, 2017",2017-07-05T19:30:00Z,Vouchers,33,43890,5007
DYN170705,"Houston Dynamo vs. Montreal Impact - Wed., July 5, 2017",2017-07-05T19:30:00Z,Vouchers,33,43890,5007
DYN170705,"Houston Dynamo vs. Montreal Impact - Wed., July 5, 2017",2017-07-05T19:30:00Z,Vouchers,33,43890,5007
DYN170705,"Houston Dynamo vs. Montreal Impact - Wed., July 5, 2017",2017-07-05T19:30:00Z,Vouchers,33,28162,3580
DYN170705,"Houston Dynamo vs. Montreal Impact - Wed., July 5, 2017",2017-07-05T19:30:00Z,Vouchers,25,55173,4957
DYN170705,"Houston Dynamo vs. Montreal Impact - Wed., July 5, 2017",2017-07-05T19:30:00Z,Vouchers,33,28162,3580
DYN170705,"Houston Dynamo vs. Montreal Impact - Wed., July 5, 2017",2017-07-05T19:30:00Z,Vouchers,33,28162,3580
DYN170705,"Houston Dynamo vs. Montreal Impact - Wed., July 5, 2017",2017-07-05T19:30:00Z,Vouchers,33,24113,9345
DYN170705,"Houston Dynamo vs. Montreal Impact - Wed., July 5, 2017",2017-07-05T19:30:00Z,Vouchers,33,23383,9959
DYN170705,"Houston Dynamo vs. Montreal Impact - Wed., July 5, 2017",2017-07-05T19:30:00Z,Vouchers,25,50872,2218
DYN170705,"Houston Dynamo vs. Montreal Impact - Wed., July 5, 2017",2017-07-05T19:30:00Z,Vouchers,33,23383,9959
DYN170705,"Houston Dynamo vs. Montreal Impact - Wed., July 5, 2017",2017-07-05T19:30:00Z,Vouchers,25,50872,2218
